
   1.000842D+00  1.000000D+00  4.687216D+03  6.416155D+02  2.062397D-09  7.288076D-01  2.520013D-01  3.298929D-03  1.014337D-03  9.217953D-03  1.256769D+00  1.043521D+02  1.190204D+13
   1.000791D+00  1.000000D+00  4.687413D+03  8.765539D+02  2.818895D-09  7.288076D-01  2.520013D-01  3.298929D-03  1.014337D-03  9.217953D-03  1.256775D+00  1.043963D+02  1.626089D+13
   1.000748D+00  1.000000D+00  4.687692D+03  1.140397D+03  3.668344D-09  7.288076D-01  2.520013D-01  3.298929D-03  1.014337D-03  9.217953D-03  1.256780D+00  1.044286D+02  2.115443D+13
   1.000709D+00  1.000000D+00  4.688087D+03  1.444635D+03  4.647645D-09  7.288076D-01  2.520013D-01  3.298929D-03  1.014337D-03  9.217953D-03  1.256784D+00  1.044541D+02  2.679526D+13
   1.000673D+00  1.000000D+00  4.688647D+03  1.800839D+03  5.793885D-09  7.288076D-01  2.520013D-01  3.298929D-03  1.014337D-03  9.217953D-03  1.256787D+00  1.044754D+02  3.339694D+13
   1.000639D+00  1.000000D+00  4.689440D+03  2.221877D+03  7.148206D-09  7.288076D-01  2.520013D-01  3.298929D-03  1.014337D-03  9.217953D-03  1.256789D+00  1.044935D+02  4.119633D+13
   1.000606D+00  1.000000D+00  4.690561D+03  2.722701D+03  8.758239D-09  7.288076D-01  2.520013D-01  3.298929D-03  1.014337D-03  9.217953D-03  1.256792D+00  1.045092D+02  5.046760D+13
   1.000573D+00  1.000000D+00  4.692141D+03  3.321046D+03  1.068022D-08  7.288076D-01  2.520013D-01  3.298929D-03  1.014337D-03  9.217953D-03  1.256794D+00  1.045231D+02  6.153444D+13
   1.000541D+00  1.000000D+00  4.694363D+03  4.038180D+03  1.298115D-08  7.288076D-01  2.520013D-01  3.298929D-03  1.014337D-03  9.217953D-03  1.256795D+00  1.045354D+02  7.478253D+13
   1.000510D+00  1.000000D+00  4.697474D+03  4.899771D+03  1.574120D-08  7.288076D-01  2.520013D-01  3.298929D-03  1.014337D-03  9.217953D-03  1.256797D+00  1.045464D+02  9.067334D+13
   1.000478D+00  1.000000D+00  4.701806D+03  5.936912D+03  1.905640D-08  7.288076D-01  2.520013D-01  3.298929D-03  1.014337D-03  9.217953D-03  1.256798D+00  1.045561D+02  1.097595D+14
   1.000447D+00  1.000000D+00  4.707788D+03  7.187339D+03  2.304151D-08  7.288076D-01  2.520013D-01  3.298929D-03  1.014337D-03  9.217953D-03  1.256800D+00  1.045646D+02  1.327018D+14
   1.000416D+00  1.000000D+00  4.715961D+03  8.696851D+03  2.783322D-08  7.288076D-01  2.520013D-01  3.298929D-03  1.014337D-03  9.217953D-03  1.256801D+00  1.045721D+02  1.602869D+14
   1.000385D+00  1.000000D+00  4.726971D+03  1.052096D+04  3.359337D-08  7.288076D-01  2.520013D-01  3.298929D-03  1.014337D-03  9.217953D-03  1.256802D+00  1.045784D+02  1.934470D+14
