3.24E-03	3.32E-08	1.27E-08	7.84E-09
3.31E-03	3.17E-08	1.21E-08	7.49E-09
3.39E-03	3.03E-08	1.16E-08	7.17E-09
3.47E-03	2.89E-08	1.11E-08	6.86E-09
3.55E-03	2.76E-08	1.06E-08	6.57E-09
3.64E-03	2.64E-08	1.01E-08	6.29E-09
3.72E-03	2.52E-08	9.71E-09	6.02E-09
3.81E-03	2.41E-08	9.29E-09	5.77E-09
3.90E-03	2.30E-08	8.90E-09	5.53E-09
3.99E-03	2.20E-08	8.53E-09	5.30E-09
4.08E-03	2.10E-08	8.17E-09	5.08E-09
4.18E-03	2.01E-08	7.83E-09	4.88E-09
4.28E-03	1.92E-08	7.51E-09	4.68E-09
4.38E-03	1.83E-08	7.21E-09	4.50E-09
4.48E-03	1.75E-08	6.92E-09	4.32E-09
4.59E-03	1.68E-08	6.65E-09	4.16E-09
4.70E-03	1.60E-08	6.39E-09	4.00E-09
4.81E-03	1.53E-08	6.14E-09	3.86E-09
4.92E-03	1.47E-08	5.92E-09	3.72E-09
5.04E-03	1.40E-08	5.70E-09	3.59E-09
5.15E-03	1.34E-08	5.50E-09	3.47E-09
5.27E-03	1.28E-08	5.30E-09	3.36E-09
5.40E-03	1.23E-08	5.13E-09	3.25E-09
5.53E-03	1.18E-08	4.96E-09	3.16E-09
5.66E-03	1.13E-08	4.81E-09	3.07E-09
5.79E-03	1.08E-08	4.66E-09	2.99E-09
5.93E-03	1.04E-08	4.53E-09	2.92E-09
6.06E-03	9.94E-09	4.42E-09	2.85E-09
6.21E-03	9.54E-09	4.31E-09	2.80E-09
6.35E-03	9.16E-09	4.21E-09	2.75E-09
6.50E-03	8.80E-09	4.13E-09	2.71E-09
6.66E-03	8.46E-09	4.06E-09	2.69E-09
6.81E-03	8.13E-09	4.01E-09	2.67E-09
6.97E-03	7.83E-09	3.96E-09	2.66E-09
7.14E-03	7.54E-09	3.93E-09	2.65E-09
7.31E-03	7.28E-09	3.92E-09	2.66E-09
7.48E-03	7.02E-09	3.91E-09	2.66E-09
7.65E-03	6.79E-09	3.92E-09	2.67E-09
7.83E-03	6.57E-09	3.93E-09	2.67E-09
8.02E-03	6.37E-09	3.94E-09	2.65E-09
8.21E-03	6.18E-09	3.94E-09	2.60E-09
8.40E-03	6.01E-09	3.91E-09	2.53E-09
8.60E-03	5.85E-09	3.84E-09	2.44E-09
8.80E-03	5.71E-09	3.74E-09	2.34E-09
9.01E-03	5.59E-09	3.61E-09	2.24E-09
9.22E-03	5.48E-09	3.45E-09	2.14E-09
9.44E-03	5.39E-09	3.30E-09	2.06E-09
9.66E-03	5.32E-09	3.17E-09	2.00E-09
9.88E-03	5.26E-09	3.05E-09	1.95E-09
1.01E-02	5.22E-09	2.95E-09	1.91E-09
1.04E-02	5.20E-09	2.88E-09	1.88E-09
1.06E-02	5.20E-09	2.82E-09	1.84E-09
1.08E-02	5.21E-09	2.77E-09	1.80E-09
1.11E-02	5.22E-09	2.72E-09	1.76E-09
1.14E-02	5.23E-09	2.67E-09	1.72E-09
1.16E-02	5.23E-09	2.60E-09	1.68E-09
1.19E-02	5.19E-09	2.53E-09	1.67E-09
1.22E-02	5.10E-09	2.48E-09	1.68E-09
1.25E-02	4.95E-09	2.47E-09	1.69E-09
1.28E-02	4.77E-09	2.48E-09	1.64E-09
1.31E-02	4.57E-09	2.49E-09	1.53E-09
1.34E-02	4.37E-09	2.43E-09	1.41E-09
1.37E-02	4.19E-09	2.27E-09	1.33E-09
1.40E-02	4.04E-09	2.09E-09	1.31E-09
1.43E-02	3.91E-09	1.96E-09	1.39E-09
1.47E-02	3.82E-09	1.94E-09	1.57E-09
1.50E-02	3.74E-09	2.05E-09	1.56E-09
1.54E-02	3.68E-09	2.30E-09	1.29E-09
1.57E-02	3.61E-09	2.32E-09	1.13E-09
1.61E-02	3.53E-09	1.92E-09	1.11E-09
1.65E-02	3.44E-09	1.67E-09	1.25E-09
1.69E-02	3.36E-09	1.63E-09	1.46E-09
1.73E-02	3.30E-09	1.83E-09	1.20E-09
1.77E-02	3.28E-09	2.15E-09	1.02E-09
1.81E-02	3.29E-09	1.79E-09	1.02E-09
1.85E-02	3.30E-09	1.51E-09	1.13E-09
1.90E-02	3.21E-09	1.50E-09	1.12E-09
1.94E-02	2.99E-09	1.65E-09	1.03E-09
1.99E-02	2.75E-09	1.66E-09	9.48E-10
2.03E-02	2.60E-09	1.53E-09	9.03E-10
2.08E-02	2.58E-09	1.41E-09	1.08E-09
2.13E-02	2.74E-09	1.33E-09	1.03E-09
2.18E-02	3.09E-09	1.57E-09	7.88E-10
2.23E-02	3.04E-09	1.56E-09	9.51E-10
2.28E-02	2.51E-09	1.17E-09	9.49E-10
2.34E-02	2.20E-09	1.37E-09	7.83E-10
2.39E-02	2.18E-09	1.43E-09	8.71E-10
2.45E-02	2.47E-09	1.15E-09	7.78E-10
2.51E-02	2.86E-09	1.29E-09	8.05E-10
2.57E-02	2.33E-09	1.15E-09	8.10E-10
2.63E-02	2.00E-09	1.19E-09	6.78E-10
2.69E-02	2.01E-09	1.19E-09	9.67E-10
2.75E-02	2.21E-09	1.01E-09	6.35E-10
2.82E-02	2.19E-09	1.36E-09	8.28E-10
2.88E-02	2.02E-09	9.48E-10	6.44E-10
2.95E-02	1.85E-09	1.20E-09	7.01E-10
3.02E-02	1.77E-09	9.49E-10	6.01E-10
3.09E-02	2.15E-09	1.03E-09	8.14E-10
3.16E-02	1.98E-09	8.97E-10	6.23E-10
3.24E-02	1.54E-09	1.21E-09	5.51E-10
3.31E-02	1.91E-09	8.96E-10	6.06E-10
3.39E-02	1.82E-09	8.11E-10	5.82E-10
3.47E-02	1.54E-09	9.13E-10	4.95E-10
3.55E-02	1.70E-09	8.45E-10	5.22E-10
3.64E-02	1.52E-09	7.34E-10	5.26E-10
3.72E-02	1.58E-09	7.96E-10	5.93E-10
3.81E-02	1.59E-09	7.89E-10	5.73E-10
3.90E-02	1.32E-09	8.85E-10	5.68E-10
3.99E-02	1.99E-09	8.33E-10	5.77E-10
4.08E-02	1.23E-09	8.18E-10	5.36E-10
4.18E-02	1.63E-09	8.14E-10	4.48E-10
4.28E-02	1.27E-09	7.56E-10	4.50E-10
4.38E-02	1.38E-09	6.61E-10	4.42E-10
4.48E-02	1.17E-09	6.68E-10	4.31E-10
4.59E-02	1.56E-09	6.55E-10	4.27E-10
4.70E-02	1.25E-09	6.36E-10	4.37E-10
4.81E-02	1.09E-09	6.29E-10	4.18E-10
4.92E-02	1.17E-09	6.40E-10	4.08E-10
5.04E-02	1.16E-09	6.12E-10	3.89E-10
5.15E-02	9.71E-10	5.97E-10	3.86E-10
5.27E-02	9.98E-10	5.74E-10	3.79E-10
5.40E-02	1.02E-09	5.70E-10	3.72E-10
5.53E-02	1.14E-09	5.57E-10	3.61E-10
5.66E-02	1.13E-09	5.47E-10	3.49E-10
5.79E-02	1.13E-09	5.31E-10	3.39E-10
5.93E-02	1.17E-09	5.15E-10	3.31E-10
6.06E-02	1.09E-09	5.00E-10	3.23E-10
6.21E-02	8.80E-10	4.89E-10	3.16E-10
6.35E-02	8.80E-10	4.77E-10	3.10E-10
6.50E-02	8.65E-10	4.67E-10	3.03E-10
6.66E-02	8.45E-10	4.57E-10	2.96E-10
6.81E-02	8.40E-10	4.47E-10	2.90E-10
6.97E-02	8.59E-10	4.36E-10	2.84E-10
7.14E-02	8.26E-10	4.28E-10	2.77E-10
7.31E-02	8.05E-10	4.19E-10	2.70E-10
7.48E-02	7.62E-10	4.09E-10	2.64E-10
7.65E-02	7.56E-10	3.99E-10	2.58E-10
7.83E-02	7.44E-10	3.89E-10	2.52E-10
8.02E-02	7.23E-10	3.81E-10	2.46E-10
8.21E-02	7.07E-10	3.72E-10	2.41E-10
8.40E-02	6.84E-10	3.64E-10	2.35E-10
8.60E-02	6.64E-10	3.55E-10	2.30E-10
8.80E-02	6.50E-10	3.47E-10	2.24E-10
9.01E-02	6.34E-10	3.39E-10	2.19E-10
9.22E-02	6.19E-10	3.31E-10	2.14E-10
9.44E-02	6.06E-10	3.24E-10	2.09E-10
9.66E-02	5.93E-10	3.16E-10	2.04E-10
9.88E-02	5.79E-10	3.09E-10	2.00E-10
1.01E-01	5.67E-10	3.02E-10	1.95E-10
1.04E-01	5.55E-10	2.95E-10	1.91E-10
1.06E-01	5.42E-10	2.88E-10	1.86E-10
1.08E-01	5.29E-10	2.82E-10	1.82E-10
1.11E-01	5.16E-10	2.75E-10	1.78E-10
1.14E-01	5.05E-10	2.69E-10	1.74E-10
1.16E-01	4.93E-10	2.63E-10	1.70E-10
1.19E-01	4.82E-10	2.57E-10	1.66E-10
1.22E-01	4.71E-10	2.51E-10	1.62E-10
1.25E-01	4.60E-10	2.45E-10	1.58E-10
1.28E-01	4.50E-10	2.39E-10	1.55E-10
1.31E-01	4.39E-10	2.34E-10	1.51E-10
1.34E-01	4.29E-10	2.28E-10	1.48E-10
1.37E-01	4.19E-10	2.23E-10	1.44E-10
1.40E-01	4.10E-10	2.18E-10	1.41E-10
1.43E-01	4.00E-10	2.13E-10	1.38E-10
1.47E-01	3.91E-10	2.08E-10	1.34E-10
1.50E-01	3.82E-10	2.03E-10	1.31E-10
1.54E-01	3.73E-10	1.99E-10	1.28E-10
1.57E-01	3.65E-10	1.94E-10	1.25E-10
1.61E-01	3.56E-10	1.90E-10	1.23E-10
1.65E-01	3.48E-10	1.85E-10	1.20E-10
1.69E-01	3.40E-10	1.81E-10	1.17E-10
