1e-06	-nan
1.5e-06	inf
2.25e-06	-nan
3.375e-06	-nan
5.0625e-06	-nan
7.59375e-06	-nan
1.13906e-05	-nan
1.70859e-05	0.054193
2.56289e-05	0.0440028
3.84434e-05	0.014631
5.7665e-05	0.00531746
8.64976e-05	0.0019297
0.000129746	0.00070027
0.00019462	0.000254122
0.000291929	9.22231e-05
0.000437894	3.34766e-05
0.000656841	1.21667e-05
0.000985261	4.44906e-06
0.00147789	1.67729e-06
0.00221684	7.27101e-07
0.00332526	4.7109e-07
0.00498789	3.83306e-07
0.00748183	3.1297e-07
0.0112227	2.55543e-07
0.0168341	2.08656e-07
0.0252512	1.70343e-07
0.0378768	1.38702e-07
0.0568151	1.12307e-07
0.0852227	9.13002e-08
0.127834	7.45344e-08
0.191751	6.11577e-08
0.287627	5.18478e-08
0.43144	5.71352e-08
0.64716	6.15369e-08
0.97074	5.10493e-08
1.45611	4.16846e-08
2.18416	3.4041e-08
3.27625	2.78048e-08
4.91437	2.2722e-08
7.37155	1.85889e-08
